"","package","missing","rep","oob_err"
"1","mi",0.1,1,0.285714285714286
"2","mice",0.1,1,0.148148148148148
"3","missForest",0.1,1,0.28125
"4","mi",0.2,1,0.1875
"5","mice",0.2,1,0.403225806451613
"6","missForest",0.2,1,0.2
"7","mi",0.3,1,0.247311827956989
"8","mice",0.3,1,0.344444444444444
"9","missForest",0.3,1,0.25
"10","mi",0.4,1,0.264150943396226
"11","mice",0.4,1,0.318965517241379
"12","missForest",0.4,1,0.235772357723577
"13","mi",0.5,1,0.210191082802548
"14","mice",0.5,1,0.26
"15","missForest",0.5,1,0.171428571428571
"16","mi",0.1,2,0.21875
"17","mice",0.1,2,0.333333333333333
"18","missForest",0.1,2,0.25
"19","mi",0.2,2,0.245283018867925
"20","mice",0.2,2,0.196428571428571
"21","missForest",0.2,2,0.181818181818182
"22","mi",0.3,2,0.271028037383178
"23","mice",0.3,2,0.267326732673267
"24","missForest",0.3,2,0.19
"25","mi",0.4,2,0.238461538461538
"26","mice",0.4,2,0.324324324324324
"27","missForest",0.4,2,0.236641221374046
"28","mi",0.5,2,0.244604316546763
"29","mice",0.5,2,0.318181818181818
"30","missForest",0.5,2,0.197368421052632
"31","mi",0.1,3,0.272727272727273
"32","mice",0.1,3,0.230769230769231
"33","missForest",0.1,3,0.225806451612903
"34","mi",0.2,3,0.34375
"35","mice",0.2,3,0.389830508474576
"36","missForest",0.2,3,0.232142857142857
"37","mi",0.3,3,0.27906976744186
"38","mice",0.3,3,0.352272727272727
"39","missForest",0.3,3,0.242105263157895
"40","mi",0.4,3,0.25
"41","mice",0.4,3,0.385826771653543
"42","missForest",0.4,3,0.240601503759398
"43","mi",0.5,3,0.284722222222222
"44","mice",0.5,3,0.387878787878788
"45","missForest",0.5,3,0.251748251748252
"46","mi",0.1,4,0.192307692307692
"47","mice",0.1,4,0.310344827586207
"48","missForest",0.1,4,0.206896551724138
"49","mi",0.2,4,0.202898550724638
"50","mice",0.2,4,0.290909090909091
"51","missForest",0.2,4,0.189655172413793
"52","mi",0.3,4,0.221153846153846
"53","mice",0.3,4,0.303030303030303
"54","missForest",0.3,4,0.185567010309278
"55","mi",0.4,4,0.289256198347107
"56","mice",0.4,4,0.418604651162791
"57","missForest",0.4,4,0.170731707317073
"58","mi",0.5,4,0.3
"59","mice",0.5,4,0.27027027027027
"60","missForest",0.5,4,0.238709677419355
"61","mi",0.1,5,0.178571428571429
"62","mice",0.1,5,0.483870967741935
"63","missForest",0.1,5,0.266666666666667
"64","mi",0.2,5,0.35
"65","mice",0.2,5,0.305084745762712
"66","missForest",0.2,5,0.276923076923077
"67","mi",0.3,5,0.297872340425532
"68","mice",0.3,5,0.340909090909091
"69","missForest",0.3,5,0.268817204301075
"70","mi",0.4,5,0.293233082706767
"71","mice",0.4,5,0.336206896551724
"72","missForest",0.4,5,0.230769230769231
"73","mi",0.5,5,0.264285714285714
"74","mice",0.5,5,0.342105263157895
"75","missForest",0.5,5,0.254901960784314
"76","mi",0.1,6,0.296296296296296
"77","mice",0.1,6,0.228571428571429
"78","missForest",0.1,6,0.230769230769231
"79","mi",0.2,6,0.206349206349206
"80","mice",0.2,6,0.36734693877551
"81","missForest",0.2,6,0.238095238095238
"82","mi",0.3,6,0.25
"83","mice",0.3,6,0.393939393939394
"84","missForest",0.3,6,0.284210526315789
"85","mi",0.4,6,0.264957264957265
"86","mice",0.4,6,0.299065420560748
"87","missForest",0.4,6,0.223076923076923
"88","mi",0.5,6,0.285714285714286
"89","mice",0.5,6,0.35625
"90","missForest",0.5,6,0.25
"91","mi",0.1,7,0.242424242424242
"92","mice",0.1,7,0.3125
"93","missForest",0.1,7,0.264705882352941
"94","mi",0.2,7,0.220588235294118
"95","mice",0.2,7,0.301587301587302
"96","missForest",0.2,7,0.2
"97","mi",0.3,7,0.195652173913043
"98","mice",0.3,7,0.306122448979592
"99","missForest",0.3,7,0.156626506024096
"100","mi",0.4,7,0.298245614035088
"101","mice",0.4,7,0.262135922330097
"102","missForest",0.4,7,0.211382113821138
"103","mi",0.5,7,0.301775147928994
"104","mice",0.5,7,0.318840579710145
"105","missForest",0.5,7,0.259259259259259
"106","mi",0.1,8,0.241379310344828
"107","mice",0.1,8,0.375
"108","missForest",0.1,8,0.0740740740740741
"109","mi",0.2,8,0.34375
"110","mice",0.2,8,0.36
"111","missForest",0.2,8,0.178571428571429
"112","mi",0.3,8,0.240963855421687
"113","mice",0.3,8,0.239130434782609
"114","missForest",0.3,8,0.263157894736842
"115","mi",0.4,8,0.281818181818182
"116","mice",0.4,8,0.30188679245283
"117","missForest",0.4,8,0.23728813559322
"118","mi",0.5,8,0.282894736842105
"119","mice",0.5,8,0.379084967320261
"120","missForest",0.5,8,0.195488721804511
"121","mi",0.1,9,0.289473684210526
"122","mice",0.1,9,0.372093023255814
"123","missForest",0.1,9,0.275862068965517
"124","mi",0.2,9,0.231884057971014
"125","mice",0.2,9,0.375
"126","missForest",0.2,9,0.157142857142857
"127","mi",0.3,9,0.298850574712644
"128","mice",0.3,9,0.431818181818182
"129","missForest",0.3,9,0.207317073170732
"130","mi",0.4,9,0.354330708661417
"131","mice",0.4,9,0.335820895522388
"132","missForest",0.4,9,0.16260162601626
"133","mi",0.5,9,0.287769784172662
"134","mice",0.5,9,0.356164383561644
"135","missForest",0.5,9,0.228187919463087
"136","mi",0.1,10,0.333333333333333
"137","mice",0.1,10,0.384615384615385
"138","missForest",0.1,10,0.1875
"139","mi",0.2,10,0.21875
"140","mice",0.2,10,0.333333333333333
"141","missForest",0.2,10,0.242424242424242
"142","mi",0.3,10,0.288288288288288
"143","mice",0.3,10,0.308510638297872
"144","missForest",0.3,10,0.230769230769231
"145","mi",0.4,10,0.277310924369748
"146","mice",0.4,10,0.289473684210526
"147","missForest",0.4,10,0.252173913043478
"148","mi",0.5,10,0.2875
"149","mice",0.5,10,0.273333333333333
"150","missForest",0.5,10,0.224358974358974
